idx,accuracy,speed,rank,crowding_distance,architecture
24,0.872,3.2071371990426862,3,0.64724250102715,"{""normal_cell"": {""blocks"": [[1, 5, 1, 0], [0, 2, 2, 1], [0, 1, 2, 4], [4, 4, 2, 3], [4, 4, 2, 3]], ""extra_connections"": [0, 4, 5]}, ""reduction_cell"": {""blocks"": [[1, 2, 1, 3], [1, 5, 0, 2], [3, 2, 2, 2], [1, 5, 3, 0], [0, 0, 0, 3]], ""extra_connections"": [1, 4, 6]}}"
25,0.7729999999999999,3.7346268706470567,3,inf,"{""normal_cell"": {""blocks"": [[1, 5, 1, 5], [0, 2, 2, 2], [2, 0, 1, 1], [3, 1, 0, 2], [4, 2, 0, 2]], ""extra_connections"": [1, 3, 6]}, ""reduction_cell"": {""blocks"": [[1, 2, 1, 0], [0, 1, 2, 5], [3, 0, 1, 5], [0, 0, 4, 1], [3, 3, 3, 2]], ""extra_connections"": [1, 2, 3]}}"
26,0.891,2.8797122854114177,1,0.20090790018820182,"{""normal_cell"": {""blocks"": [[0, 4, 0, 5], [0, 2, 1, 5], [3, 3, 3, 3], [2, 1, 4, 0], [2, 3, 0, 2]], ""extra_connections"": [0, 1, 4]}, ""reduction_cell"": {""blocks"": [[0, 2, 0, 1], [1, 2, 1, 0], [0, 3, 3, 1], [1, 3, 4, 5], [1, 4, 4, 5]], ""extra_connections"": [0, 2, 4, 6]}}"
27,0.838,3.921680718313394,2,inf,"{""normal_cell"": {""blocks"": [[0, 2, 1, 4], [1, 5, 2, 3], [2, 0, 3, 0], [2, 1, 4, 3], [5, 2, 0, 3]], ""extra_connections"": [2, 3, 5, 6]}, ""reduction_cell"": {""blocks"": [[1, 1, 1, 1], [0, 4, 2, 0], [1, 2, 2, 5], [1, 1, 0, 1], [2, 1, 1, 4]], ""extra_connections"": [3, 4, 5, 6]}}"
28,0.885,3.6623437703660646,1,0.6019516500334278,"{""normal_cell"": {""blocks"": [[1, 1, 1, 0], [1, 3, 2, 2], [2, 4, 0, 2], [4, 0, 2, 3], [3, 0, 0, 2]], ""extra_connections"": [0, 3, 4, 6]}, ""reduction_cell"": {""blocks"": [[0, 2, 1, 4], [0, 0, 1, 0], [2, 5, 0, 4], [1, 0, 1, 5], [3, 3, 4, 4]], ""extra_connections"": [1, 2, 3, 4, 5, 6]}}"
29,0.823,2.7063803773966515,6,inf,"{""normal_cell"": {""blocks"": [[0, 5, 1, 0], [1, 0, 2, 5], [3, 2, 2, 5], [4, 1, 2, 0], [4, 5, 1, 2]], ""extra_connections"": [0, 1, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 5, 0, 5], [2, 3, 2, 2], [0, 2, 2, 1], [1, 2, 3, 1], [1, 1, 1, 0]], ""extra_connections"": [0, 3, 5]}}"
30,0.821,4.170161870462721,1,0.675462489490358,"{""normal_cell"": {""blocks"": [[0, 1, 0, 5], [1, 0, 1, 2], [1, 3, 2, 5], [3, 1, 4, 1], [2, 3, 1, 2]], ""extra_connections"": [0, 1, 2, 3, 4]}, ""reduction_cell"": {""blocks"": [[0, 2, 0, 5], [1, 2, 2, 0], [0, 2, 0, 1], [2, 3, 4, 1], [3, 0, 1, 3]], ""extra_connections"": [0, 2, 4, 5]}}"
31,0.884,2.6464488769975474,2,1.0726723072886861,"{""normal_cell"": {""blocks"": [[1, 0, 1, 1], [0, 2, 0, 5], [2, 1, 1, 0], [2, 3, 1, 5], [3, 3, 4, 0]], ""extra_connections"": [2, 5]}, ""reduction_cell"": {""blocks"": [[1, 1, 1, 0], [0, 1, 1, 5], [3, 0, 0, 3], [4, 4, 0, 5], [4, 4, 1, 5]], ""extra_connections"": [1, 2, 4, 6]}}"
32,0.9889999999999999,1.9498953506277008,0,inf,"{""normal_cell"": {""blocks"": [[1, 4, 0, 3], [0, 4, 2, 5], [1, 0, 2, 3], [2, 4, 2, 0], [2, 5, 2, 4]], ""extra_connections"": [0, 2, 3, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[1, 2, 0, 5], [0, 4, 1, 1], [3, 0, 2, 5], [3, 5, 3, 3], [5, 5, 1, 3]], ""extra_connections"": [2, 4, 6]}}"
33,0.864,4.883125027154753,0,inf,"{""normal_cell"": {""blocks"": [[1, 2, 1, 4], [0, 3, 0, 2], [2, 2, 0, 3], [4, 0, 4, 3], [3, 0, 1, 4]], ""extra_connections"": [0, 1, 2, 5]}, ""reduction_cell"": {""blocks"": [[1, 3, 1, 0], [0, 5, 2, 1], [1, 2, 0, 4], [3, 0, 1, 0], [3, 0, 5, 1]], ""extra_connections"": [0, 1, 2, 3, 4, 5]}}"
34,0.891,4.244211469585087,0,0.6701417242191368,"{""normal_cell"": {""blocks"": [[1, 1, 0, 0], [2, 3, 1, 3], [3, 3, 0, 5], [0, 0, 3, 5], [2, 0, 1, 1]], ""extra_connections"": [1, 3, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 0, 1, 4], [0, 0, 2, 4], [0, 0, 1, 1], [3, 3, 3, 1], [3, 0, 1, 3]], ""extra_connections"": [1, 2, 3, 4, 5, 6]}}"
35,0.903,3.4482204051725183,0,0.5874826765229372,"{""normal_cell"": {""blocks"": [[0, 3, 0, 4], [1, 3, 0, 0], [2, 2, 3, 1], [1, 1, 4, 3], [4, 4, 2, 1]], ""extra_connections"": [0, 1, 2, 5]}, ""reduction_cell"": {""blocks"": [[0, 1, 1, 5], [1, 0, 1, 0], [2, 4, 0, 3], [2, 3, 2, 4], [3, 5, 1, 0]], ""extra_connections"": [1, 3, 6]}}"
